stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4640,0631,Орлика (631),"вул. Гетьмана Мазепи, 12",49.870535,24.032534
4641,0633,Лікарня швидкої допомоги (633),"вул. Гетьмана Мазепи, 22",49.871743,24.039470
4642,0635,Плугова (635),"вул. Гетьмана Мазепи, 32",49.872371,24.043332
4643,,Грінченка (639-01),"вул. Б. Грінченка (вул. Творча, 48)",49.872831,24.050309
4644,0576,Чигиринська (576),"вул. Б. Грінченка, 1",49.870596,24.055314
4645,0595,Галицьке перехрестя (595),"вул. Б. Хмельницького, 289",49.874169,24.061040
4646,0069,Теодора (69),"площа Святого Теодора, 9",49.846953,24.026445
4647,0649,Замарстинів (649),"вул. Замарстинівська, 178",49.871272,24.018496
4648,0650,Поліклініка МВС (650),"вул. Замарстинівська,226",49.873944,24.013517
4649,0652,Дитячий диспансер (652),вул. Замарстинівська 274,49.877615,24.004027
4650,1066,"Брюховичі, Цвинтар (1066)",вул. Львівська,49.897489,23.964111
4651,1069,"Брюховичі, джерело (1069)","вул. Львівська, перехрестя з вул. Ясна",49.901459,23.960063
4652,1065,"Брюховичі, Курортна (1065)",вул. Львівська 20,49.903743,23.960220
4653,1064,"Брюховичі, Пляжна (1064)",вул. Курортна (перехрестя з вул. Пляжна),49.905788,23.957352
4654,1062,"Брюховичі, Пансіонат “Львів“ (1062)",вул. Курортна (перехрестя з вул. Лікарська),49.907056,23.947623
4655,1051,"Брюховичі, Івасюка (1051)",вул. В. Івасюка 4,49.902001,23.940207
4656,1052,"Брюховичі, Арктична (1052)",вул. В. Івасюка 6,49.901262,23.935706
4657,1054,"Брюховичі, Ягідна (1054)",вул. В. Івасюка 32,49.903720,23.929529
4658,1056,Брюховичі. Кардіологічна лікарня (1056),вул. В. Івасюка 69,49.905087,23.927563
4659,1045,"Брюховичі, Ягідна (1045)",вул. В. Івасюка 45,49.902589,23.930982
4660,1053,"Брюховичі, Арктична (1053)",вул. В. Івасюка 19,49.901120,23.935840
4661,1057,"Брюховичі, Івасюка (1057)",вул. В. Івасюка 1Б,49.901922,23.940416
4662,1063,"Брюховичі, Вокзал (1063)",вул. Курортна (перехрестя з вул. Незалежності України),49.904119,23.940645
4663,1058,"Брюховичі, Пансіонат “Львів“ (1058)",вул. Курортна 10,49.906866,23.947631
4664,1059,"Брюховичі, Пляжна (1059)",вул. Курортна 20,49.905602,23.957378
4665,1061,"Брюховичі, Курортна (1061)","вул. Курортна (вул. Львівська, 23)",49.904392,23.960066
4666,1068,"Брюховичі, Джерело (1068)",вул. Львівська,49.901241,23.960039
4667,0651,Дитячий диспансер (651),"вул. Замарстинівська, 265",49.877429,24.003979
4668,0654,Поліклініка МВС (654),"вул. Замарстинівська, 225А",49.873792,24.013522
4669,0653,Замарстинів (653),"вул. Замарстинівська,223А",49.871285,24.018077
4670,0006,Куліша (6),"пр. В. Чорновола (вул. П.Куліша, 44)",49.849729,24.024661
4671,0313,Муроване (0313),вул. Івана Франка (с. Муроване),49.875361,24.098436
4674,1191,Малехів. Нова (1191),вул. Нова ?,49.876810,24.066759
4676,0589,Скейт-парк (589),вул. Б. Хмельницького 212,49.868626,24.056320
4677,0591,Автостанція № 2 (591),"вул. Б. Хмельницького, 225",49.864118,24.052430
4678,0590,Радіоринок (590),вул. Б. Хмельницького 217,49.861909,24.050477
4679,0588,Височана (588),"вул. Б. Хмельницького, 201",49.858110,24.047269
4680,0586,Ф-ка повидла (0586),вул. Б. Хмельницького 173,49.855562,24.045119
4681,0053,Магнус (53),"вул. Данилишина,9",49.844431,24.023275
4682,0110,Привокзальний ринок (110),вул. Городоцька (навпроти № 155),49.836457,23.999349
4683,0113,Скриня (113),вул. Городоцька (навпроти № 175),49.835592,23.994693
4684,0529,Кульпарківська (529),"вул. Кульпарківська, 3",49.834192,23.990909
4685,0485,Боткіна (485),"вул. Володимира Великого, 111",49.811148,23.991673
