stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4641,0633,Лікарня швидкої допомоги (0633),вул. Гетьмана Івана Мазепи 22,49.871743,24.039470
4642,0635,Плугова (0635),вул. Гетьмана Івана Мазепи 32,49.872371,24.043332
4644,0576,Чигиринська (0576),"вул. Грінченка Бориса, 1",49.870596,24.055314
4645,0595,Галицьке перехрестя (0595),"вул. Хмельницького Богдана, 289",49.874169,24.061040
4646,0069,Теодора (0069),"площа Святого Теодора, 9",49.846953,24.026445
4647,0649,Замарстинів (0649),вул. Замарстинівська 178,49.871272,24.018496
4648,0650,Поліклініка МВС (0650),вул. Замарстинівська 226,49.873944,24.013517
4649,0652,Дитячий диспансер (0652),вул. Замарстинівська 274,49.877615,24.004027
4667,0651,Дитячий диспансер (0651),вул. Замарстинівська 265,49.877429,24.003979
4668,0654,Поліклініка МВС (0654),вул. Замарстинівська 225А,49.873792,24.013522
4669,0653,Замарстинів (0653),вул. Замарстинівська 223А,49.871285,24.018077
4670,0006,Куліша (0006),"пр. Чорновола В'ячеслава (вул. П.Куліша, 44)",49.849729,24.024661
4676,0589,Скейт-парк (0589),вул. Хмельницького Богдана 212,49.868467,24.056314
4677,0591,Автостанція № 2 (0591),вул. Хмельницького Богдана 225,49.864118,24.052430
4678,0590,Радіоринок (0590),вул. Хмельницького Богдана 217,49.861909,24.050477
4679,0588,Височана (0588),вул. Хмельницького Богдана 201,49.858110,24.047269
4680,0586,Ф-ка повидла (0586),вул. Хмельницького Богдана 173,49.855562,24.045119
4681,0053,Магнус (0053),вул. Данилишина Дмитра,49.844431,24.023275
4682,0110,Привокзальний ринок (0110),вул. Городоцька (навпроти № 155),49.836457,23.999349
4683,0113,Скриня (0113),вул. Городоцька (навпроти № 175),49.835592,23.994693
4684,0529,Кульпарківська (0529),вул. Кульпарківська 3,49.834201,23.990943
4685,0485,Боткіна (0485),вул. Володимира Великого 111,49.811148,23.991673
4686,0486,Океан (0486),"вул. Володимира Великого (вул. Кн.Ольги, 106)",49.810497,23.998132
4687,0483,Володимира Великого (0483),вул. Володимира Великого 35,49.809967,24.004574
4688,0480,Янева (0480),вул. Володимира Великого 21,49.808856,24.012052
4689,0559,Автобусний завод (0559),вул. Стрийська 104,49.807627,24.019037
4690,0565,Стрийська-Наукова (0565),вул. Стрийська  (перехрестя Стрийська-Наукова),49.801302,24.017626
4691,0430,Скорини (0430),"вул. Стрийська, 57",49.798002,24.017245
4693,0431,Гашека (0431),вул. Стрийська 61,49.794712,24.016521
4694,0436,Стрийська-Наукова (0436),,49.802604,24.018361
4695,0508,Боднарівка (0508),,49.805491,24.017760
4696,0568,Тролейбусне депо (0568),вул. Тролейбусна 1,49.807388,24.007546
4697,0479,Коледж телекомунікацій (0479),"вул. Володимира Великого, 12",49.809964,24.007037
4698,0481,Володимира Великого (0481),"вул. Володимира Великого, 22",49.810435,24.001200
4699,0482,Океан (0482),"вул. Володимира Великого, 22",49.810860,23.996748
4700,0484,Боткіна (0484),"вул. Володимира Великого, 50",49.811484,23.990289
4701,0530,Кардіологічний центр (0530),вул. Кульпарківська 35,49.830799,23.990707
4702,0535,Кульпарківська (0535),вул. Любінська 4,49.834052,23.990766
4703,0494,Скриня (0494),вул. Городоцька 175,49.835322,23.994924
4704,0082,Магнус (0082),"вул. Шпитальна (вул. Городоцька, 4)",49.844436,24.024321
4705,0582,Промислова (0582),вул. Хмельницького Богдана 106,49.853635,24.041626
4706,0583,Ф-ка повидла (0583),вул. Хмельницького Богдана 122,49.855790,24.045500
4707,0585,Височана (0585),вул. Хмельницького Богдана 158,49.858138,24.047484
4708,0587,Радіоринок (0587),вул. Хмельницького Богдана 176,49.862278,24.051025
4711,0320,ТРЦ Кінг Кросс (0320),"вул. Стрийська, 30",49.774093,24.012718
4712,0434,Іподром (0434),вул. Стрийська 179,49.778056,24.014171
4713,0435,Сокільницька (0435),вул. Стрийська 197,49.784129,24.014434
4714,0433,Автовокзал (0433),вул. Стрийська 109,49.787758,24.017822
4715,0432,Максимовича (0432),вул. Стрийська 71,49.792614,24.015985
4716,0131,Скнилівок (0131),"вул. Виговського Івана, 89",49.812342,23.982114
4717,0130,Південний (0130),"вул. Виговського Івана, 69",49.813671,23.976856
4718,0129,Кульчицької (0129),"вул. Виговського Івана, 47",49.816700,23.972474
4719,0128,Любінська-Виговського Івана (0128),"вул. Виговського Івана, 41",49.819621,23.969861
4721,0125,Поліклініка № 5 (0125),,49.826270,23.968011
4722,0100,Мотозавод (0100),вул. Городоцька 249,49.830754,23.969164
4723,0114,Богданівка (0114),вул. Городоцька 223,49.832488,23.979174
4724,0497,Народна (0497),вул. Городоцька 207,49.833429,23.984560
4725,0496,Кульпарківська (0496),вул. Городоцька 189,49.834460,23.990058
4726,0189,Приміський вокзал (0189),вул. Чернівецька 4,49.837720,24.000138
4727,,Залізничний вокзал (висадка) 0083,"вул. Чернівецька, 1",49.839124,23.994371
4728,0191,Залізничний вокзал (0191),вул. Чернівецька 11,49.838844,23.995723
4729,0190,Приміський вокзал (0190),вул. Чернівецька 9,49.837571,23.999881
4730,0096,Народна (0096),вул. Городоцька 134,49.833772,23.985236
4731,0498,Богданівка (0498),вул. Городоцька (навпроти № 225),49.832547,23.978514
4732,0124,Мотозавод (0124),вул. Виговського Івана 4,49.830066,23.968123
4733,0127,Поліклініка № 5 (0127),вул. Виговського Івана 32,49.825854,23.967635
4734,0133,Любінська-Виговського Івана (0133),"вул. Виговського Івана (вул. Чуваська, 12)",49.820016,23.969389
4735,0134,Кульчицької (0134),вул. Виговського Івана (навпроти № 45А),49.817378,23.971503
4736,0135,Скнилівок (0135),вул. Виговського Івана (навпроти № 89),49.812128,23.982142
4737,0561,Гашека (0561),вул. Стрийська 244,49.794106,24.016076
4738,0562,Максимовича (0562),вул. Стрийська 264,49.791440,24.015448
4739,0563,Автовокзал (0563),вул. Стрийська 302,49.787582,24.014606
4740,0564,Сокільницька (0564),вул. Стрийська 338,49.783290,24.013817
4741,,ТРЦ Кінг Кросс (0320-01),"вул. Стрийська, 30",49.774232,24.013335
4742,0179,Сяйво (0179),"вул. Сяйво, 10",49.837581,23.977286
4743,0145,Широка (0145),,49.843030,23.980402
4744,0143,Ливарна (0143),,49.844590,23.984318
4745,0140,Естонська (0140),,49.846839,23.990404
4746,0139,Левандівська (0139),,49.848433,23.994462
4749,0761,Винниця (0761),"вул. Винниця, 60",49.861863,23.991930
4750,0687,Брюховицька (0687),вул. Шевченка Тараса 230,49.859926,23.970913
4751,0689,Шевченка (0689),вул. Шевченка Тараса 264,49.861706,23.966519
4752,0691,Біберовича (0691),вул. Шевченка Тараса 292,49.862938,23.963537
4753,0692,Порічкова (0692),вул. Шевченка Тараса 318,49.864446,23.960018
4754,0701,Лушпинського (0701),вул. Шевченка Тараса (перехрестя з вул. О. Лушпинського),49.866392,23.956699
4755,0694,Рясне 1 (0694),вул. Шевченка Тараса 358,49.868094,23.952604
4756,0695,Стельмаха (0695),вул. Шевченка Тараса 384,49.870455,23.946247
4757,0698,Сотника (0698),вул. Шевченка Тараса (навпроти № 321),49.872679,23.933201
4758,0657,Величковського (0657),вул. Величковського Івана (навпроти № 40),49.875137,23.932444
4760,0656,Величковського (0656),вул. Величковського Івана 42,49.875299,23.932450
4761,0693,Сотника (0693),вул. Шевченка Тараса 321,49.872347,23.933791
4762,0700,Стельмаха (0700),вул. Шевченка Тараса (навпроти № 384),49.870438,23.945507
4763,0699,Рясне 1 (0699),вул. Шевченка Тараса (навпроти № 358А),49.868350,23.950866
4764,0702,Лушпинського (0702),вул. Шевченка Тараса (перехрестя з вул. Професора Ковалика),49.866431,23.956370
4765,0690,Порічкова (0690),вул. Шевченка Тараса 277,49.864277,23.960077
4766,0688,Біберовича (0688),вул. Шевченка Тараса 241,49.862935,23.963193
4767,0686,Шевченка (0686),вул. Шевченка Тараса 209,49.861234,23.967394
4768,0685,Брюховицька (0685),вул. Шевченка Тараса 171,49.859833,23.970693
4769,0186,Татарбунарська (0186),вул. Шевченка Тараса (навпроти № 154Б),49.853766,23.985300
4770,0184,Крупзавод (0184),вул. Шевченка Тараса 113,49.850967,23.991813
4771,0142,Левандівська (0142),вул. Левандівська 10,49.848406,23.993974
4772,0144,Ливарна (0144),вул. Левандівська 18,49.844490,23.983653
4773,0181,Широка (0181),вул. Сяйво 91,49.842048,23.979008
4774,0180,Сяйво (0180),вул. Сяйво 23,49.836799,23.976749
4775,0629,Татарбунарська (0629),"вул. Винниця (вул. Шевченка Тараса, 154)",49.854037,23.986405
4776,0597,Шевченківська РА (0597),вул. Липинського Вячеслава 12,49.857499,24.023241
4777,0598,Замарстинівська (0598),вул. Липинського Вячеслава 26,49.860566,24.027658
4778,0603,Бетховена (0603),вул. Липинського Вячеслава (навпроти № 36),49.863440,24.032636
4779,0600,БТІ (0600),вул. Липинського Вячеслава 54,49.864844,24.042023
4780,0601,Автостанція №2 (0601),вул. Липинського Вячеслава 60,49.865131,24.050676
4781,0659,Лікарня швидкої допомоги (0659),вул. Миколайчука Івана 12,49.875047,24.041390
4782,0619,Щурата (0619),вул. Щурата Василя 12,49.879824,24.038129
