stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_region
4761,0693,Сотника (693),вул. Т. Шевченка 321,49.872347,23.933791,Шевченківський
5078,0522,Аквапарк (0522),вул. Княгині Ольги 108,49.807326,23.998641,Франківський
4756,0695,Стельмаха (695),вул. Т. Шевченка 384,49.870455,23.946247,Шевченківський
4715,0432,Максимовича (432),"вул. Стрийська, 71",49.792614,24.015985,Сихівський
5154,,Приміський вокзал-висадка (0111-01),"вул. Городоцька, 112",49.836374,23.997509,Залізничний
45146,,"Брюховичі, під Осовою (1074-01)",вул. Під Осовою 2,49.920735,23.979689,Шевченківський
4614,0553,Стрийська-Наукова (553),вул. Наукова (перехрестя з вул. Стрийська),49.802078,24.017267,Франківський
4732,0124,Мотозавод (124),"вул. І. Виговського, 4",49.830066,23.968123,Залізничний
45028,0750,Ромоданівська (750),вул. Личаківська (навпроти буд. 211),49.835798,24.073373,Личаківський
4827,0192,Низинна (192),вул. Широка 44,49.842179,23.971680,Залізничний
4768,0685,Брюховицька (685),вул. Т. Шевченка 171,49.859833,23.970693,Шевченківський
4620,0533,Щирецька (533),вул. Кульпарківська 123,49.809356,23.982562,Франківський
5162,0085,Станція Скнилів (0085),вул. Авіаційна 2,49.821859,23.936731,Залізничний
4922,0213,Богданівська (213),вул. Глинянський Тракт (навпроти № 70),49.840172,24.084671,Личаківський
5033,0132,Південний (132),"вул. І. Виговського (вул. Щирецька, 36)",49.813547,23.976618,Залізничний
42752,0003,Старий ринок (3),"вул. Хмельницького, 19",49.846517,24.028966,Галицький
42799,0118,Залізничний вокзал (118),"пл. Двірцева,1",49.839003,23.996775,Залізничний
5008,0216,Вашингтона (216),"вул. Дж. Вашингтона (навпроти вул. Зелена, 147)",49.815984,24.062746,Сихівський
4863,0282,Лисинецька (282),"вул. Пасічна, 85",49.817039,24.077262,Личаківський
4574,0609,Шевченківська РА (609),пр. В. Чорновола 57,49.855960,24.021875,Шевченківський
4658,1056,Брюховичі. Кардіологічна лікарня (1056),вул. В. Івасюка 69,49.905087,23.927563,Шевченківський
4935,0198,Богданівська (198),"вул. Богданівська, 2",49.840480,24.085695,Личаківський
4589,,"Винники, Стадіон (1029)","Винники, вул.І. Франка, 115а",49.805669,24.137145,Личаківський
4824,0404,Податкова (0404),вул. І. Чмоли 2,49.814627,24.023098,Сихівський
4722,0100,Мотозавод (100),вул. Городоцька 249,49.830754,23.969164,Залізничний
4765,0690,Порічкова (690),вул. Т. Шевченка 277,49.864277,23.960077,Шевченківський
4810,0410,Коломийська - Трильовського (410),вул. Коломийська 9,49.787672,24.065938,Сихівський
42794,0703,Татарбунарська (703),"вул. Татарбунарська (вул. Т. Шевченка, 154)",49.853487,23.986861,Шевченківський
44979,0422,Литвиненка (422),"вул. С. Литвиненка, 19",49.813696,24.042168,Сихівський
42779,0499,Мельника (0499),"вул. Коновальця, 51",49.830664,24.003244,Франківський
4729,0190,Приміський вокзал (190),вул. Чернівецька 9,49.837571,23.999881,Залізничний
45038,0056,700-річчя Львова (0056),"вул. Під Дубом, 2",49.850509,24.025571,Галицький
4598,0449,ТЦ Шувар (449),"пр. Червоної Калини, 36",49.799103,24.047908,Сихівський
4697,0479,Коледж телекомунікацій (0479),"вул. Володимира Великого, 12",49.809964,24.007037,Франківський
5045,о (3,Гніздовського (0193),вул. Широка 68,49.841760,23.966659,Залізничний
4962,1076,"Брюховичі, Січових Стрільців (1076)",вул. Січових Стрільців,49.917327,23.968143,Шевченківський
4989,0560,Скорини (560),"вул. Стрийська, 202",49.797718,24.016805,Франківський
4750,0687,Брюховицька (687),"вул. Т. Шевченка, 222а",49.859926,23.970913,Шевченківський
42806,0510,Тобілевича (510),"вул. Тобілевича, 12",49.835948,24.003140,Франківський
4706,0583,Ф-ка повидла (583),"вул. Б. Хмельницького, 122",49.855790,24.045500,Личаківський
45035,0735,Дитяча залізниця (0735),"вул. Академіка А. Сахарова (вул. Стрийська, 78)",49.820115,24.019321,Галицький
4919,0199,Авторинок (199),"вул. Богданівська, 11",49.854583,24.076232,Личаківський
4707,0585,Височана (585),"вул. Б. Хмельницького, 158",49.858291,24.047576,Личаківський
5034,0173,Петлюри (0173),вул. С. Петлюри 37,49.819781,23.980885,Залізничний
4691,0430,Скорини (430),"вул. Стрийська, 57",49.798002,24.017245,Сихівський
4975,0271,Майорівка (0271),"вул. Пасічна, 70",49.826370,24.073631,Личаківський
